Year,Bor,Bur,Lan
1699,-0.506666667,-9.521333333,4.372774869
1700,,4.678666667,2.572774869
1701,,-1.321333333,15.37277487
1702,,-7.321333333,8.572774869
1703,,-1.321333333,-0.627225131
1704,,-10.92133333,-6.127225131
1705,,1.678666667,4.372774869
1706,,-19.92133333,-11.12722513
1707,,-4.321333333,9.772774869
1708,,-1.321333333,1.472774869
1709,,4.678666667,7.172774869
1710,,-6.321333333,-2.527225131
1711,,-0.321333333,4.272774869
1712,,2.178666667,4.072774869
1713,,7.578666667,9.372774869
1714,,2.678666667,9.272774869
1715,,0.678666667,-0.527225131
1716,,6.078666667,10.37277487
1717,,-1.921333333,5.372774869
1718,,-23.62133333,-10.42722513
1719,,-27.42133333,-8.427225131
1720,,2.378666667,15.47277487
1721,,5.078666667,15.97277487
1722,,-3.621333333,2.972774869
1723,,-9.321333333,1.372774869
1724,,-3.521333333,-11.42722513
1725,,15.07866667,12.37277487
1726,,-15.82133333,-5.327225131
1727,,-15.62133333,-5.927225131
1728,,-10.62133333,-6.327225131
1729,,4.678666667,7.372774869
1730,,2.378666667,5.972774869
1731,,-4.821333333,11.67277487
1732,,-5.321333333,14.47277487
1733,-4.006666667,1.078666667,4.672774869
1734,,-9.521333333,-15.62722513
1735,15.99333333,12.17866667,9.572774869
1736,-7.006666667,-5.821333333,4.572774869
1737,-11.00666667,-7.521333333,-2.327225131
1738,3.993333333,4.378666667,10.37277487
1739,,-0.721333333,-3.527225131
1740,,23.17866667,14.77277487
1741,-12.00666667,0.378666667,-4.227225131
1742,,6.078666667,3.772774869
1743,,0.078666667,17.77277487
1744,,6.078666667,10.97277487
1745,,3.178666667,4.972774869
1746,3.993333333,0.978666667,10.17277487
1747,-0.006666667,6.378666667,11.67277487
1748,,1.078666667,11.77277487
1749,4.993333333,3.378666667,9.772774869
1750,-1.006666667,-1.421333333,7.572774869
1751,9.993333333,10.07866667,6.672774869
1752,8.493333333,4.078666667,6.172774869
1753,1.793333333,-5.921333333,2.772774869
1754,17.39333333,5.078666667,1.672774869
1755,-0.206666667,-8.921333333,4.172774869
1756,11.99333333,9.378666667,10.67277487
1757,4.993333333,0.478666667,4.772774869
1758,12.99333333,-0.621333333,13.07277487
1759,-3.006666667,-1.621333333,4.772774869
1760,-5.006666667,-8.921333333,5.872774869
1761,-6.006666667,-10.92133333,8.672774869
1762,-8.006666667,-9.921333333,6.972774869
1763,7.993333333,10.07866667,4.972774869
1764,-1.006666667,-11.92133333,5.772774869
1765,5.993333333,-1.321333333,9.572774869
1766,8.993333333,1.678666667,7.872774869
1767,6.493333333,10.07866667,4.972774869
1768,1.993333333,3.078666667,9.172774869
1769,1.993333333,2.078666667,12.77277487
1770,15.99333333,11.57866667,13.67277487
1771,-1.006666667,0.578666667,8.672774869
1772,-3.006666667,0.078666667,0.972774869
1773,10.49333333,2.078666667,13.67277487
1774,1.993333333,-2.921333333,7.372774869
1775,-1.006666667,0.078666667,6.372774869
1776,7.993333333,5.578666667,9.072774869
1777,11.99333333,5.578666667,6.772774869
1778,2.993333333,-1.521333333,1.772774869
1779,0.993333333,-2.321333333,4.872774869
1780,0.993333333,-5.321333333,1.972774869
1781,-5.006666667,-14.92133333,1.572774869
1782,0.993333333,5.078666667,6.672774869
1783,-7.006666667,-6.821333333,5.672774869
1784,-5.006666667,-6.521333333,1.772774869
1785,-11.00666667,-2.521333333,7.572774869
1786,-4.006666667,0.878666667,2.372774869
1787,7.993333333,8.078666667,10.07277487
1788,-13.50666667,-7.321333333,-1.327225131
1789,10.99333333,11.17866667,11.37277487
1790,-3.006666667,1.878666667,10.67277487
1791,-0.006666667,-6.521333333,-6.627225131
1792,2.993333333,8.478666667,
1793,,-2.421333333,8.772774869
1794,,-11.32133333,-1.227225131
1795,0.293333333,1.578666667,-5.227225131
1796,6.293333333,11.67866667,5.772774869
1797,3.793333333,14.37866667,-0.227225131
1798,0.793333333,-9.321333333,2.772774869
1799,1.793333333,14.57866667,14.77277487
1800,-2.206666667,-0.121333333,4.772774869
1801,-11.70666667,2.378666667,
1802,-4.006666667,-0.621333333,
1803,-0.806666667,3.378666667,
1804,-10.80666667,4.578666667,
1805,-3.806666667,21.97866667,
1806,-5.806666667,2.678666667,
1807,-14.70666667,-1.621333333,
1808,-12.00666667,4.078666667,
1809,2.693333333,20.37866667,
1810,-6.706666667,6.078666667,
1811,-12.80666667,-11.42133333,
1812,-3.706666667,14.07866667,
1813,8.193333333,15.37866667,
1814,3.193333333,10.87866667,
1815,-0.806666667,-3.321333333,
1816,32.19333333,25.57866667,
1817,7.193333333,16.67866667,
1818,-9.806666667,-0.321333333,
1819,-4.806666667,0.678666667,
1820,2.193333333,16.37866667,
1821,7.193333333,21.57866667,
1822,-31.80666667,-22.92133333,
1823,10.59333333,18.07866667,
1824,8.593333333,17.67866667,
1825,-16.30666667,-5.921333333,
1826,-7.506666667,6.478666667,
1827,-7.506666667,3.078666667,
1828,-9.706666667,8.478666667,
1829,-0.706666667,16.37866667,
1830,-10.40666667,3.078666667,
1831,-12.60666667,3.078666667,
1832,-4.506666667,10.07866667,
1833,-5.306666667,2.578666667,
1834,-17.00666667,-9.921333333,
1835,-2.006666667,10.07866667,
1836,-1.206666667,12.07866667,
1837,-0.206666667,13.97866667,
1838,3.293333333,11.97866667,
1839,0.293333333,4.878666667,
1840,-6.406666667,-0.021333333,
1841,-6.706666667,0.078666667,
1842,-4.206666667,-7.621333333,
1843,10.29333333,19.97866667,
1844,-10.20666667,-2.621333333,
1845,12.09333333,10.57866667,
1846,-11.70666667,-14.12133333,
1847,-0.706666667,8.878666667,
1848,-5.206666667,4.378666667,
1849,-5.006666667,0.378666667,
1850,3.193333333,9.878666667,
1851,0.893333333,8.878666667,
1852,-0.706666667,-0.621333333,
1853,13.19333333,8.578666667,
1854,8.993333333,1.178666667,
1855,10.79333333,8.378666667,
1856,4.893333333,6.678666667,
1857,-7.006666667,-6.021333333,
1858,-6.006666667,-6.621333333,
1859,-4.006666667,-5.921333333,
1860,2.993333333,10.87866667,
1861,-4.206666667,-0.821333333,
1862,-7.006666667,-5.021333333,
1863,-2.906666667,-6.021333333,
1864,-7.806666667,-0.421333333,
1865,-19.80666667,-16.62133333,
1866,-5.206666667,0.078666667,
1867,-7.706666667,0.878666667,
1868,-18.60666667,-11.92133333,
1869,-11.10666667,-5.121333333,
1870,-15.80666667,-5.921333333,
1871,-3.806666667,8.378666667,
1872,0.793333333,3.578666667,
1873,-3.206666667,2.878666667,
1874,-11.00666667,-7.421333333,
1875,-2.806666667,-2.121333333,
1876,3.993333333,9.678666667,
1877,-0.006666667,8.678666667,
1878,-2.006666667,8.078666667,
1879,18.19333333,20.57866667,
1880,-2.406666667,3.978666667,
1881,-4.906666667,0.378666667,
1882,-0.906666667,7.978666667,
1883,3.593333333,9.878666667,
1884,0.093333333,4.378666667,
1885,0.093333333,-1.121333333,
1886,-1.406666667,1.978666667,
1887,-1.406666667,1.978666667,
1888,7.093333333,7.278666667,
1889,9.593333333,-1.821333333,
1890,5.093333333,2.978666667,
1891,8.593333333,11.77866667,
1892,-7.406666667,-2.921333333,
1893,-38.40666667,-27.92133333,
1894,2.093333333,3.378666667,
1895,-4.906666667,-2.621333333,
1896,-8.906666667,1.878666667,
1897,-10.40666667,-5.621333333,
1898,-5.906666667,4.378666667,
1899,-4.906666667,-0.121333333,
1900,-7.906666667,1.878666667,
1901,-15.40666667,-10.42133333,
1902,-5.406666667,5.478666667,
1903,-3.906666667,7.878666667,
1904,-9.906666667,-7.121333333,
1905,-12.40666667,-2.121333333,
1906,-14.40666667,-4.421333333,
1907,-3.906666667,7.578666667,
1908,-10.90666667,-2.921333333,
1909,-3.906666667,6.578666667,
1910,10.39333333,,-7.527225131
1911,-11.60666667,-14.52133333,-12.52722513
1912,-5.606666667,3.078666667,-17.52722513
1913,-3.106666667,6.078666667,-8.527225131
1914,-6.906666667,8.578666667,
1915,-6.906666667,-10.62133333,
1916,-0.906666667,10.37866667,
1917,-9.906666667,,
1918,-3.906666667,-1.421333333,-7.527225131
1919,-6.906666667,1.978666667,-15.52722513
1920,-6.106666667,1.078666667,-21.52722513
1921,-12.90666667,-6.121333333,-18.52722513
1922,-15.10666667,-0.821333333,-17.52722513
1923,0.093333333,1.878666667,-7.527225131
1924,-9.106666667,-2.621333333,-18.52722513
1925,2.893333333,-4.421333333,-4.427225131
1926,-2.606666667,-2.421333333,-2.927225131
1927,-6.606666667,-5.421333333,-22.92722513
1928,-7.606666667,-0.621333333,-5.527225131
1929,-3.906666667,-2.421333333,-18.42722513
1930,0.393333333,-0.421333333,-13.92722513
1931,-5.906666667,-0.621333333,-9.927225131
1932,14.89333333,8.878666667,5.072774869
1933,-5.906666667,-0.621333333,-13.42722513
1934,-9.906666667,-10.62133333,-13.52722513
1935,-1.906666667,4.378666667,-7.527225131
1936,6.093333333,3.878666667,-1.527225131
1937,-6.906666667,-9.121333333,-17.52722513
1938,-1.306666667,4.878666667,-8.527225131
1939,0.193333333,14.57866667,-4.527225131
1940,-0.606666667,0.378666667,-5.527225131
1941,-1.106666667,10.57866667,-6.527225131
1942,-4.906666667,-1.421333333,-14.52722513
1943,-11.30666667,-7.221333333,-18.52722513
1944,-4.106666667,7.278666667,-12.52722513
1945,-17.10666667,-10.12133333,-20.52722513
1946,3.793333333,-1.921333333,-7.527225131
1947,-12.90666667,-10.62133333,
1948,-4.206666667,-0.221333333,
1949,0.093333333,-1.921333333,
1950,-8.906666667,-5.121333333,
1951,8.093333333,7.278666667,-9.527225131
1952,-8.906666667,-9.421333333,-18.52722513
1953,2.793333333,-4.421333333,-12.52722513
1954,9.393333333,11.27866667,-4.527225131
1955,-0.906666667,3.878666667,-11.52722513
1956,14.19333333,16.37866667,-1.527225131
1957,3.093333333,4.978666667,-4.527225131
1958,9.393333333,3.878666667,-5.527225131
1959,-5.406666667,-10.82133333,-10.52722513
1960,-11.60666667,-5.121333333,-10.52722513
1961,-11.40666667,-2.121333333,-15.52722513
1962,4.693333333,12.57866667,0.472774869
1963,7.093333333,9.878666667,-1.527225131
1964,0.093333333,-4.421333333,-8.527225131
1965,4.593333333,14.97866667,-7.527225131
1966,-3.506666667,-0.721333333,-11.52722513
1967,-3.806666667,4.578666667,-9.527225131
1968,-0.706666667,5.878666667,-4.527225131
1969,-2.506666667,8.878666667,0.472774869
1970,0.493333333,3.078666667,-8.527225131
1971,0.593333333,-7.821333333,-3.527225131
1972,11.09333333,10.37866667,2.472774869
1973,-1.106666667,-3.421333333,-3.727225131
